key;bg;
(none);(нито един)
{0} km;{0} km
{0} mi.;{0} mi.
{1}: The number of dealers found;{1}: Броят на намерените дилъри
{1}: The number of files found;{1}: Броят на намерените файлове
{2}: The distance searched;{2}: Търсеното разстояние
{3}: The postal code searched;{3}: Търсеният пощенски код
{3}: The search text entered by the user;{3}: Текстът за търсене, въведен от потребителя
Action;Действие
Albania;Албания
Algeria;Алжир
All form fields are required.;Всички полета за формуляри са необходими.
Also Fits;Също се побира
Andorra;Андора
Angola;Ангола
Apply Filter;Нанесете филтър
Apply Filters;Прилагайте филтри
Aspiration;Аспирация
Attribute;Атрибут
Austria;Австрия
Availability;Наличност
Axle;Ос
AXLE GROUP;Група на оси
Back;обратно
Back to {0};Обратно към {0}
Back to All Symptoms;Обратно към всички симптоми
Back To Product List;Обратно към списъка с продукти
Bahrain;Бахрейн
Belarus;Беларус
Belgium;Белгия
Benin;Бенин
Bore;Отвор
Bosnia And Herzegovina;Босна и Херцеговина
Botswana;Ботсвана
Brand;Марка
Browse Parts;Разгледайте части
Bulgaria;България
Bulletins;Бюлетини
Burkina Faso;Буркина Фасо
Burundi;Бурунди
Cameroon;Камерун
Canada;Канада
Cape Verde;Кабо Верде
CC ((refers to cubic centimeters, in engine displacement parlance));CC ((се отнася до кубически сантиметри, в езика за изместване на двигателя))
Central African Republic;Централноафриканска република
Chad;Чад
Choose Filter;Изберете филтър
City;Град
City Or Postal Code;Град или пощенски код
Click to remove.;Щракнете, за да премахнете.
Close;Близо
Close filters;Затвори филтри
Close specification search;Затворете търсенето на спецификации
Commercial Vehicles;Търговски превозни средства
Comoros;Коморос
Consumer;Консуматор
Country;Държава
Croatia;Хърватия
Cylinder;Цилиндър
Cylinders;Цилиндри
Cyprus;Кипър
Czech Republic;Чехия
Deactivated Part text not set in global configs;Текстът на дезактивирана част не е зададен в глобални конфигурации
Democratic Republic Of The Congo;Демократична република Конго
Denmark;Дания
Description;Описание
Distance;Разстояние
Distributors;Дистрибутори
Djibouti;Джибути
Download {0};Изтеглете {0}
Download Files Button has not been configured;Бутонът за изтегляне на файлове не е конфигуриран
Drag Link Image components to add to Link Image Bar;Плъзнете компонентите на изображението на връзката, за да добавите към лентата за връзки изображения
Egypt;Египет
Email;електронна поща
Email Address;Имейл адрес
Engine;Двигател
Engine code:;Код на двигателя:
ENGINE GROUP;ДВИГАТЕЛНА ГРУПА
Engine Manufacturer;Производител на двигатели
Enter the parameters you know to find your engine.;Въведете параметрите, които знаете, за да намерите своя двигател.
Enter Your Unique Code;Въведете своя уникален код
Equatorial Guinea;Екваториална Гвинея
Eritrea;Еритрея
Estonia;Естония
Ethiopia;Етиопия
Europe, Middle East, Africa;Европа, Близкия изток, Африка
Existing filters active for this search:;Съществуващи филтри, активни за това търсене:
Expert Advice;Експертен съвет
FAQs;Често задавани въпроси
Faroe Islands;Фарьорските острови
Features;Характеристика
Federal-Mogul;Федерален-магьосник
Filter;Филтър
Find Parts;Намерете части
Find Parts by:;Намерете части от:
Find Parts for A Previously Entered Vehicle;Намерете части за предварително въведено превозно средство
Find parts for a previously entered vehicle;Намерете части за предварително въведено превозно средство
Find stores and repair shops in:;Намерете магазини и ремонтни магазини в:
Finland;Финландия
First;Първо
First Name;Първо име
Fits:;Подхожда:
Fits: Axle;Подхожда: ос
Fits: Engine;Подхожда: двигател
FM Part #;FM Част #
FM Part Name;Име на част от FM
Follow me @ {0};Следвайте ме @ {0}
France;Франция
FRONT;Фронт
Fuel Type;Тип гориво
Gabon;Габон
Gambia;Гамбия
Georgia;Джорджия
Germany;Германия
Ghana;Гана
Gibraltar;Гибралтар
Go to Page Properties to configure global content;Отидете на Page Properties, за да конфигурирате глобалното съдържание
Greece;Гърция
Guernsey;Гърнси
Guinea;Гвинея
Guinea Bissau;Гвинея Бисау
